state,district,month,enrol_total,demo_total,bio_total,update_total,update_pressure,growth_rate,rolling_updates,privacy_flag,confidence_score,service_stress_score,stress_level,enrol_norm,update_norm,pressure_norm,growth_norm,aadhaar_maturity_index,maturity_category
Andaman & Nicobar Islands,Andamans,2025-03,0.0,0.0,209.0,209.0,0.0,0.0,209.0,Suppressed,0.5,0.0,Low,0.0,0.0009713249988381281,0.0,0.05616605616605617,0.005908003116257056,Underserved
Andaman & Nicobar Islands,Andamans,2025-04,0.0,0.0,184.0,184.0,0.0,-0.11961722488038273,196.5,Suppressed,0.5,-23.50478468899521,Low,0.0,0.0008551377980201701,0.0,0.04944762839499682,0.0052013041789057335,Underserved
Andaman & Nicobar Islands,Andamans,2025-05,0.0,0.0,180.0,180.0,0.0,-0.021739130434782594,191.0,Suppressed,0.5,-4.152173913043476,Low,0.0,0.0008365478458892969,0.0,0.054945054945054944,0.005745469848272284,Underserved
Andaman & Nicobar Islands,Andamans,2025-06,0.0,0.0,140.0,140.0,0.0,-0.2222222222222222,168.0,Suppressed,0.5,-37.33333333333333,Low,0.0,0.0006506483245805642,0.0,0.04368471035137702,0.004563665532511871,Underserved
Andaman & Nicobar Islands,Andamans,2025-07,0.0,0.0,259.0,259.0,0.0,0.8500000000000001,193.0,Suppressed,0.5,164.05,High,0.0,0.0012036994004740438,0.0,0.10390720390720391,0.010751830210862606,Underserved
Andaman & Nicobar Islands,Andamans,2025-09,28.0,167.0,371.0,538.0,19.214285714285715,1.077220077220077,312.3333333333333,Suppressed,0.5,336.45173745173736,High,0.0016900048285852245,0.002500348561602454,0.006172272956725254,0.11666925952640238,0.014327487043900116,Underserved
Andaman & Nicobar Islands,Andamans,2025-10,19.0,85.0,204.0,289.0,15.210526315789474,-0.4628252788104089,362.0,Suppressed,0.5,-167.54275092936803,Low,0.0011467889908256881,0.0013431240414555933,0.004886131164725177,0.030170985561320134,0.004855977597844003,Underserved
Andaman & Nicobar Islands,Andamans,2025-11,16.0,220.0,265.0,485.0,30.3125,0.6782006920415224,437.3333333333333,Suppressed,0.5,296.59976931949245,High,0.0009657170449058426,0.0022540316958683834,0.009737391583681337,0.09425791432711847,0.012435766076170968,Underserved
Andaman & Nicobar Islands,Andamans,2025-12,25.0,333.0,396.0,729.0,29.16,0.5030927835051546,501.0,Suppressed,0.5,252.04948453608247,High,0.0015089328826653789,0.0033880187758516525,0.009367169932540957,0.08442279370114422,0.01193569214244426,Underserved
Andaman & Nicobar Islands,Nicobars,2025-09,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Suppressed,0.5,0.0,Low,6.035731530661516e-05,4.647488032718316e-06,0.00032123353678124,0.05616605616605617,0.005706389496494327,Underserved
Andaman & Nicobar Islands,Nicobars,2025-11,0.0,4.0,0.0,4.0,0.0,3.0,2.5,Suppressed,0.5,7.5,High,0.0,1.8589952130873264e-05,0.0,0.22466422466422467,0.02247199945206173,Underserved
