state,district,forecast_month,predicted_update_total,predicted_stress_level
Andaman & Nicobar Islands,Andamans,2026-01-01,949.0,Low
Andaman & Nicobar Islands,Andamans,2026-02-01,1169.0,Low
Andaman & Nicobar Islands,Andamans,2026-03-01,1389.0,Low
Andaman & Nicobar Islands,Nicobars,2026-01-01,1.0,Low
Andaman & Nicobar Islands,Nicobars,2026-02-01,1.0,Low
Andaman & Nicobar Islands,Nicobars,2026-03-01,1.0,Low
Andaman & Nicobar Islands,South Andaman,2026-01-01,250.5,Low
Andaman & Nicobar Islands,South Andaman,2026-02-01,293.0,Low
Andaman & Nicobar Islands,South Andaman,2026-03-01,335.5,Low
Andaman and Nicobar Islands,Nicobar,2026-01-01,473.0,Low
Andaman and Nicobar Islands,Nicobar,2026-02-01,574.0,Low
Andaman and Nicobar Islands,Nicobar,2026-03-01,675.0,Low
Andaman and Nicobar Islands,North And Middle Andaman,2026-01-01,1536.5,Low
Andaman and Nicobar Islands,North And Middle Andaman,2026-02-01,1841.0,Low
Andaman and Nicobar Islands,North And Middle Andaman,2026-03-01,2145.5,Medium
Andaman and Nicobar Islands,South Andaman,2026-01-01,3813.5,Medium
Andaman and Nicobar Islands,South Andaman,2026-02-01,4662.0,Medium
Andaman and Nicobar Islands,South Andaman,2026-03-01,5510.5,Medium
Andhra Pradesh,Adilabad,2026-01-01,17440.0,High
Andhra Pradesh,Adilabad,2026-02-01,18523.0,High
Andhra Pradesh,Adilabad,2026-03-01,19606.0,High
Andhra Pradesh,Alluri Sitharama Raju,2026-01-01,6051.0,Medium
Andhra Pradesh,Alluri Sitharama Raju,2026-02-01,6680.0,Medium
Andhra Pradesh,Alluri Sitharama Raju,2026-03-01,7309.0,Medium
Andhra Pradesh,Anakapalli,2026-01-01,7071.0,Medium
Andhra Pradesh,Anakapalli,2026-02-01,8675.0,High
Andhra Pradesh,Anakapalli,2026-03-01,10279.0,High
Andhra Pradesh,Anantapur,2026-01-01,34332.0,High
Andhra Pradesh,Anantapur,2026-02-01,37069.0,High
Andhra Pradesh,Anantapur,2026-03-01,39806.0,High
Andhra Pradesh,Ananthapur,2026-01-01,15220.5,High
Andhra Pradesh,Ananthapur,2026-02-01,15366.0,High
Andhra Pradesh,Ananthapur,2026-03-01,15511.5,High
Andhra Pradesh,Ananthapuramu,2026-01-01,21835.0,High
Andhra Pradesh,Ananthapuramu,2026-02-01,23403.0,High
Andhra Pradesh,Ananthapuramu,2026-03-01,24971.0,High
Andhra Pradesh,Annamayya,2026-01-01,8861.0,High
Andhra Pradesh,Annamayya,2026-02-01,10572.0,High
Andhra Pradesh,Annamayya,2026-03-01,12283.0,High
Andhra Pradesh,Bapatla,2026-01-01,5500.5,Medium
Andhra Pradesh,Bapatla,2026-02-01,6662.0,Medium
Andhra Pradesh,Bapatla,2026-03-01,7823.5,Medium
Andhra Pradesh,Chittoor,2026-01-01,66212.5,High
Andhra Pradesh,Chittoor,2026-02-01,71005.0,High
Andhra Pradesh,Chittoor,2026-03-01,75797.5,High
Andhra Pradesh,Cuddapah,2026-01-01,52250.5,High
Andhra Pradesh,Cuddapah,2026-02-01,58111.0,High
Andhra Pradesh,Cuddapah,2026-03-01,63971.5,High
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-01-01,6549.5,Medium
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-02-01,7822.0,Medium
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-03-01,9094.5,High
Andhra Pradesh,East Godavari,2026-01-01,89125.0,High
Andhra Pradesh,East Godavari,2026-02-01,100557.0,High
Andhra Pradesh,East Godavari,2026-03-01,111989.0,High
Andhra Pradesh,Eluru,2026-01-01,7420.0,Medium
Andhra Pradesh,Eluru,2026-02-01,8809.0,High
Andhra Pradesh,Eluru,2026-03-01,10198.0,High
Andhra Pradesh,Guntur,2026-01-01,82764.0,High
Andhra Pradesh,Guntur,2026-02-01,93623.0,High
Andhra Pradesh,Guntur,2026-03-01,104482.0,High
Andhra Pradesh,Hyderabad,2026-01-01,37060.5,High
Andhra Pradesh,Hyderabad,2026-02-01,43832.0,High
Andhra Pradesh,Hyderabad,2026-03-01,50603.5,High
Andhra Pradesh,K.V.Rangareddy,2026-01-01,326.5,Low
Andhra Pradesh,K.V.Rangareddy,2026-02-01,329.0,Low
Andhra Pradesh,K.V.Rangareddy,2026-03-01,331.5,Low
Andhra Pradesh,K.v. Rangareddy,2026-01-01,175.5,Low
Andhra Pradesh,K.v. Rangareddy,2026-02-01,190.0,Low
Andhra Pradesh,K.v. Rangareddy,2026-03-01,204.5,Low
Andhra Pradesh,Kakinada,2026-01-01,9650.0,High
Andhra Pradesh,Kakinada,2026-02-01,11481.0,High
Andhra Pradesh,Kakinada,2026-03-01,13312.0,High
Andhra Pradesh,Karim Nagar,2026-01-01,1017.5,Low
Andhra Pradesh,Karim Nagar,2026-02-01,1195.0,Low
Andhra Pradesh,Karim Nagar,2026-03-01,1372.5,Low
Andhra Pradesh,Karimnagar,2026-01-01,7112.5,Medium
Andhra Pradesh,Karimnagar,2026-02-01,7975.0,Medium
Andhra Pradesh,Karimnagar,2026-03-01,8837.5,High
Andhra Pradesh,Khammam,2026-01-01,14450.0,High
Andhra Pradesh,Khammam,2026-02-01,14801.0,High
Andhra Pradesh,Khammam,2026-03-01,15152.0,High
Andhra Pradesh,Krishna,2026-01-01,62276.0,High
Andhra Pradesh,Krishna,2026-02-01,70124.0,High
Andhra Pradesh,Krishna,2026-03-01,77972.0,High
Andhra Pradesh,Kurnool,2026-01-01,75478.5,High
Andhra Pradesh,Kurnool,2026-02-01,79935.0,High
Andhra Pradesh,Kurnool,2026-03-01,84391.5,High
Andhra Pradesh,Mahabub Nagar,2026-01-01,6510.5,Medium
Andhra Pradesh,Mahabub Nagar,2026-02-01,6288.0,Medium
Andhra Pradesh,Mahabub Nagar,2026-03-01,6065.5,Medium
Andhra Pradesh,Mahabubnagar,2026-01-01,59.0,Low
Andhra Pradesh,Mahabubnagar,2026-02-01,61.0,Low
Andhra Pradesh,Mahabubnagar,2026-03-01,63.0,Low
Andhra Pradesh,Mahbubnagar,2026-01-01,5083.5,Medium
Andhra Pradesh,Mahbubnagar,2026-02-01,5204.0,Medium
Andhra Pradesh,Mahbubnagar,2026-03-01,5324.5,Medium
Andhra Pradesh,Medak,2026-01-01,8116.5,High
Andhra Pradesh,Medak,2026-02-01,8749.0,High
Andhra Pradesh,Medak,2026-03-01,9381.5,High
Andhra Pradesh,N. T. R,2026-01-01,11028.0,High
Andhra Pradesh,N. T. R,2026-02-01,13201.0,High
Andhra Pradesh,N. T. R,2026-03-01,15374.0,High
Andhra Pradesh,Nalgonda,2026-01-01,13561.0,High
Andhra Pradesh,Nalgonda,2026-02-01,13807.0,High
Andhra Pradesh,Nalgonda,2026-03-01,14053.0,High
Andhra Pradesh,Nandyal,2026-01-01,6598.0,Medium
Andhra Pradesh,Nandyal,2026-02-01,7619.0,Medium
Andhra Pradesh,Nandyal,2026-03-01,8640.0,High
Andhra Pradesh,Nellore,2026-01-01,38490.5,High
Andhra Pradesh,Nellore,2026-02-01,42028.0,High
Andhra Pradesh,Nellore,2026-03-01,45565.5,High
Andhra Pradesh,Nizamabad,2026-01-01,3753.0,Medium
Andhra Pradesh,Nizamabad,2026-02-01,3974.0,Medium
Andhra Pradesh,Nizamabad,2026-03-01,4195.0,Medium
Andhra Pradesh,Palnadu,2026-01-01,7303.0,Medium
Andhra Pradesh,Palnadu,2026-02-01,8806.0,High
Andhra Pradesh,Palnadu,2026-03-01,10309.0,High
Andhra Pradesh,Parvathipuram Manyam,2026-01-01,4514.0,Medium
Andhra Pradesh,Parvathipuram Manyam,2026-02-01,5328.0,Medium
Andhra Pradesh,Parvathipuram Manyam,2026-03-01,6142.0,Medium
Andhra Pradesh,Prakasam,2026-01-01,62746.0,High
Andhra Pradesh,Prakasam,2026-02-01,71099.0,High
Andhra Pradesh,Prakasam,2026-03-01,79452.0,High
Andhra Pradesh,Rangareddi,2026-01-01,18026.0,High
Andhra Pradesh,Rangareddi,2026-02-01,20639.0,High
Andhra Pradesh,Rangareddi,2026-03-01,23252.0,High
Andhra Pradesh,Spsr Nellore,2025-08-01,0.0,Low
Andhra Pradesh,Spsr Nellore,2025-09-01,0.0,Low
Andhra Pradesh,Spsr Nellore,2025-10-01,0.0,Low
Andhra Pradesh,Sri Potti Sriramulu Nellore,2026-01-01,8451.0,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,2026-02-01,10054.0,High
Andhra Pradesh,Sri Potti Sriramulu Nellore,2026-03-01,11657.0,High
Andhra Pradesh,Sri Sathya Sai,2026-01-01,8687.5,High
Andhra Pradesh,Sri Sathya Sai,2026-02-01,10354.0,High
Andhra Pradesh,Sri Sathya Sai,2026-03-01,12020.5,High
Andhra Pradesh,Srikakulam,2026-01-01,47790.5,High
Andhra Pradesh,Srikakulam,2026-02-01,51952.0,High
Andhra Pradesh,Srikakulam,2026-03-01,56113.5,High
Andhra Pradesh,Tirupati,2026-01-01,10773.0,High
Andhra Pradesh,Tirupati,2026-02-01,13257.0,High
Andhra Pradesh,Tirupati,2026-03-01,15741.0,High
Andhra Pradesh,Visakhapatnam,2026-01-01,83419.0,High
Andhra Pradesh,Visakhapatnam,2026-02-01,97677.0,High
Andhra Pradesh,Visakhapatnam,2026-03-01,111935.0,High
Andhra Pradesh,Vizianagaram,2026-01-01,46223.0,High
Andhra Pradesh,Vizianagaram,2026-02-01,53053.0,High
Andhra Pradesh,Vizianagaram,2026-03-01,59883.0,High
Andhra Pradesh,Warangal,2026-01-01,18324.0,High
Andhra Pradesh,Warangal,2026-02-01,20229.0,High
Andhra Pradesh,Warangal,2026-03-01,22134.0,High
Andhra Pradesh,West Godavari,2026-01-01,60697.0,High
Andhra Pradesh,West Godavari,2026-02-01,68158.0,High
Andhra Pradesh,West Godavari,2026-03-01,75619.0,High
Andhra Pradesh,Y. S. R,2026-01-01,7629.0,Medium
Andhra Pradesh,Y. S. R,2026-02-01,9126.0,High
Andhra Pradesh,Y. S. R,2026-03-01,10623.0,High
Arunachal Pradesh,Anjaw,2026-01-01,329.0,Low
Arunachal Pradesh,Anjaw,2026-02-01,395.0,Low
Arunachal Pradesh,Anjaw,2026-03-01,461.0,Low
